Bandit,Reward,Algorithm
3,3.006074098607116,Epsilon Greedy
3,3.71881897616635,Epsilon Greedy
3,5.425761746487703,Epsilon Greedy
3,4.269846166212983,Epsilon Greedy
3,4.6248583726303645,Epsilon Greedy
3,5.105676132917969,Epsilon Greedy
3,3.9217633393898153,Epsilon Greedy
3,5.280005143639796,Epsilon Greedy
3,3.833725051808544,Epsilon Greedy
3,3.4236845870990136,Epsilon Greedy
3,4.619866674937916,Epsilon Greedy
3,3.6434470094787272,Epsilon Greedy
3,3.796384729538666,Epsilon Greedy
3,3.8684558354430907,Epsilon Greedy
3,4.06319776170349,Epsilon Greedy
3,3.3900394516983647,Epsilon Greedy
3,2.628873835575585,Epsilon Greedy
3,2.0347240314371517,Epsilon Greedy
3,3.147649673499108,Epsilon Greedy
3,4.351670511808934,Epsilon Greedy
3,3.3373985725498847,Epsilon Greedy
3,4.691393570825165,Epsilon Greedy
3,6.238154344303891,Epsilon Greedy
3,3.2635507023778096,Epsilon Greedy
3,2.7298201829063915,Epsilon Greedy
3,3.321172813597878,Epsilon Greedy
3,2.993607517916977,Epsilon Greedy
3,4.118362056200734,Epsilon Greedy
3,4.952150383852519,Epsilon Greedy
3,4.6358465093966865,Epsilon Greedy
3,4.79541121354508,Epsilon Greedy
3,4.057532420377009,Epsilon Greedy
3,4.705222340084346,Epsilon Greedy
3,5.370094058305138,Epsilon Greedy
3,3.1798887518790977,Epsilon Greedy
3,4.595896816496518,Epsilon Greedy
3,3.959815809269291,Epsilon Greedy
3,3.977408268262679,Epsilon Greedy
3,3.056207718719567,Epsilon Greedy
3,5.383518683051561,Epsilon Greedy
3,3.402612492741131,Epsilon Greedy
3,4.781647917189522,Epsilon Greedy
3,5.444934291536311,Epsilon Greedy
3,4.756708297567481,Epsilon Greedy
3,2.957687499952499,Epsilon Greedy
3,2.7724919830678747,Epsilon Greedy
3,3.783606827359552,Epsilon Greedy
3,3.829113862773491,Epsilon Greedy
3,2.6643716293185316,Epsilon Greedy
3,3.6384972607714077,Epsilon Greedy
